Date,Ticker,Action
2021-01-21,CXO,removed_ticker
2021-01-21,TRMB,added_ticker
2021-01-07,TIF,removed_ticker
2021-01-07,ENPH,added_ticker
2020-12-21,AIV,removed_ticker
2020-12-21,TSLA,added_ticker
2020-10-12,NBL,removed_ticker
2020-10-09,VNT,added_ticker
2020-10-07,ETFC,removed_ticker
2020-10-07,POOL,added_ticker
2020-09-21,HRB,removed_ticker
2020-09-21,COTY,removed_ticker
2020-09-21,KSS,removed_ticker
2020-09-21,ETSY,added_ticker
2020-09-21,TER,added_ticker
2020-09-21,CTLT,added_ticker
2020-06-22,ADS,removed_ticker
2020-06-22,HOG,removed_ticker
2020-06-22,JWN,removed_ticker
2020-06-22,BIO,added_ticker
2020-06-22,TDY,added_ticker
2020-06-22,TYL,added_ticker
2020-05-22,HP,removed_ticker
2020-05-22,WST,added_ticker
2020-05-12,CPRI,removed_ticker
2020-05-12,AGN,removed_ticker
2020-05-12,DPZ,added_ticker
2020-05-12,DXCM,added_ticker
2020-04-06,M,removed_ticker
2020-04-06,RTN,removed_ticker
2020-04-03,OTIS,added_ticker
2020-04-03,CARR,added_ticker
2020-03-03,XEC,removed_ticker
2020-03-03,GDI,added_ticker
2020-01-28,WCG,removed_ticker
2020-01-28,PAYC,added_ticker
2019-12-23,AMG,removed_ticker
2019-12-23,TRIP,removed_ticker
2019-12-23,MAC,removed_ticker
2019-12-23,LYV,added_ticker
2019-12-23,ZBRA,added_ticker
2019-12-23,STE,added_ticker
2019-12-09,STI,removed_ticker
2019-12-09,ODFL,added_ticker
2019-12-05,VIAB,removed_ticker
2019-12-05,WRB,added_ticker
2019-11-21,CELG,removed_ticker
2019-11-21,NOW,added_ticker
2019-10-03,NKTR,removed_ticker
2019-10-03,LVS,added_ticker
2019-09-26,JEF,removed_ticker
2019-09-26,NVR,added_ticker
2019-09-23,TSS,removed_ticker
2019-09-23,CDW,added_ticker
2019-08-09,LDOS,added_ticker
2019-08-09,APC,removed_ticker
2019-08-09,IEX,added_ticker
2019-08-09,FL,removed_ticker
2019-07-15,TMUS,added_ticker
2019-07-15,RHT,removed_ticker
2019-07-01,LLL,removed_ticker
2019-07-01,MKTX,added_ticker
2019-06-07,MAT,removed_ticker
2019-06-07,AMCR,added_ticker
2019-06-07,BMS,added_ticker
2019-06-03,CTVA,added_ticker
2019-06-03,FLR,removed_ticker
2019-06-03,DD,added_ticker
2019-06-03,DWDP,removed_ticker
2019-04-02,BHF,removed_ticker
2019-04-02,DOW,added_ticker
2019-02-27,WAB,added_ticker
2019-02-27,GT,removed_ticker
2019-02-15,NFX,removed_ticker
2019-02-15,ATO,added_ticker
2019-01-18,PCG,removed_ticker
2019-01-18,TFX,added_ticker
2019-01-02,SCG,removed_ticker
2019-01-02,FRC,added_ticker
2018-12-24,CE,added_ticker
2018-12-24,ESRX,removed_ticker
2018-12-03,MXIM,added_ticker
2018-12-03,LW,added_ticker
2018-12-03,FANG,added_ticker
2018-12-03,COL,removed_ticker
2018-12-03,AET,removed_ticker
2018-12-03,SRCL,removed_ticker
2018-11-13,EQT,removed_ticker
2018-11-13,JKHY,added_ticker
2018-11-06,KEYS,added_ticker
2018-11-06,CA,removed_ticker
2018-10-11,FTNT,added_ticker
2018-10-11,EVHC,removed_ticker
2018-10-01,ROL,added_ticker
2018-10-01,ANDV,removed_ticker
2018-09-14,XL,removed_ticker
2018-09-14,WCG,added_ticker
2018-08-28,GGP,removed_ticker
2018-08-28,ANET,added_ticker
2018-07-02,CPRT,added_ticker
2018-07-02,DPS,removed_ticker
2018-06-20,FLT,added_ticker
2018-06-20,TWX,removed_ticker
2018-06-18,RRC,removed_ticker
2018-06-18,AYI,removed_ticker
2018-06-18,HFC,added_ticker
2018-06-18,BR,added_ticker
2018-06-07,MON,removed_ticker
2018-06-07,TWTR,added_ticker
2018-06-05,NAVI,removed_ticker
2018-06-05,EVRG,added_ticker
2018-05-31,ABMD,added_ticker
2018-05-31,WYN,removed_ticker
2018-04-04,CSRA,removed_ticker
2018-04-04,MSCI,added_ticker
2018-03-19,TTWO,added_ticker
2018-03-19,PDCO,removed_ticker
2018-03-19,SIG,removed_ticker
2018-03-19,SIVB,added_ticker
2018-03-19,NKTR,added_ticker
2018-03-19,CHK,removed_ticker
2018-03-07,IPGP,added_ticker
2018-03-07,SNI,removed_ticker
2018-01-03,HII,added_ticker
2018-01-03,BCR,removed_ticker
2017-10-13,NCLH,added_ticker
2017-10-13,LVLT,removed_ticker
2017-09-18,CDNS,added_ticker
2017-09-18,SPLS,removed_ticker
2017-09-01,DD,removed_ticker
2017-09-01,SBAC,added_ticker
2017-09-01,DWDP,added_ticker
2017-09-01,DOW,removed_ticker
2017-08-29,IQV,added_ticker
2017-08-29,WFM,removed_ticker
2017-08-29,Q,added_ticker
2017-08-08,AN,removed_ticker
2017-08-08,BHF,added_ticker
2017-07-26,MNK,removed_ticker
2017-07-26,MUR,removed_ticker
2017-07-26,BBBY,removed_ticker
2017-07-26,RIG,removed_ticker
2017-07-26,RAI,removed_ticker
2017-07-26,PKG,added_ticker
2017-07-26,RMD,added_ticker
2017-07-26,DRE,added_ticker
2017-07-26,MGM,added_ticker
2017-07-26,AOS,added_ticker
2017-06-19,ANSS,added_ticker
2017-06-19,R,removed_ticker
2017-06-19,TDC,removed_ticker
2017-06-19,YHOO,removed_ticker
2017-06-19,RE,added_ticker
2017-06-19,ALGN,added_ticker
2017-06-19,HLT,added_ticker
2017-06-19,MJN,removed_ticker
2017-06-02,TGNA,removed_ticker
2017-06-02,INFO,added_ticker
2017-04-05,IT,added_ticker
2017-04-05,DNB,removed_ticker
2017-04-04,SWN,removed_ticker
2017-04-04,DXC,added_ticker
2017-03-20,ARE,added_ticker
2017-03-20,URBN,removed_ticker
2017-03-20,AMD,added_ticker
2017-03-20,RJF,added_ticker
2017-03-20,FSLR,removed_ticker
2017-03-20,FTR,removed_ticker
2017-03-16,SNPS,added_ticker
2017-03-16,HAR,removed_ticker
2017-03-13,DISH,added_ticker
2017-03-13,LLTC,removed_ticker
2017-03-02,ENDP,removed_ticker
2017-03-02,REG,added_ticker
2017-03-01,PBI,removed_ticker
2017-03-01,CBOE,added_ticker
2017-02-28,SE,removed_ticker
2017-02-28,INCY,added_ticker
2017-01-05,IDXX,added_ticker
2017-01-05,STJ,removed_ticker
2016-12-02,MAA,added_ticker
2016-12-02,EVHC,added_ticker
2016-12-02,LM,removed_ticker
2016-12-02,OI,removed_ticker
2016-11-01,ARNC,added_ticker
2016-11-01,AA,removed_ticker
2016-10-03,COTY,added_ticker
2016-09-30,DO,removed_ticker
2016-09-23,COO,added_ticker
2016-09-22,HOT,removed_ticker
2016-09-08,CHTR,added_ticker
2016-09-08,EMC,removed_ticker
2016-09-06,MTD,added_ticker
2016-09-06,JCI,removed_ticker
2016-07-05,CPGX,removed_ticker
2016-07-05,FTV,added_ticker
2016-07-01,ALB,added_ticker
2016-07-01,LNT,added_ticker
2016-07-01,GAS,removed_ticker
2016-07-01,TE,removed_ticker
2016-06-22,FBHS,added_ticker
2016-06-22,CVC,removed_ticker
2016-06-20,UA-C,added_ticker
2016-06-03,TDG,added_ticker
2016-06-03,BXLT,removed_ticker
2016-05-31,CCE,removed_ticker
2016-05-31,AJG,added_ticker
2016-05-23,LKQ,added_ticker
2016-05-23,ARG,removed_ticker
2016-05-18,TWC,removed_ticker
2016-05-18,DLR,added_ticker
2016-05-13,ALK,added_ticker
2016-05-13,SNDK,removed_ticker
2016-05-03,ADT,removed_ticker
2016-05-03,AYI,added_ticker
2016-04-25,GME,removed_ticker
2016-04-25,GPN,added_ticker
2016-04-18,ULTA,added_ticker
2016-04-18,THC,removed_ticker
2016-04-08,UA,added_ticker
2016-04-04,CAM,removed_ticker
2016-04-04,FL,added_ticker
2016-03-30,HOLX,added_ticker
2016-03-30,POM,removed_ticker
2016-03-30,CNC,added_ticker
2016-03-30,ESV,removed_ticker
2016-03-25,UAA,added_ticker
2016-03-07,UDR,added_ticker
2016-03-07,GMCR,removed_ticker
2016-03-04,CNX,removed_ticker
2016-03-04,AWK,added_ticker
2016-02-22,CXO,added_ticker
2016-02-22,PCL,removed_ticker
2016-02-01,CFG,added_ticker
2016-02-01,BRCM,removed_ticker
2016-02-01,PCP,removed_ticker
2016-02-01,FRT,added_ticker
2016-01-19,CB,removed_ticker
2016-01-19,EXR,added_ticker
2016-01-05,WLTW,added_ticker
2016-01-05,FOSL,removed_ticker
2015-12-29,ALTR,removed_ticker
2015-12-29,CHD,added_ticker
2015-12-15,CMCSK,removed_ticker
2015-12-01,CSRA,added_ticker
2015-12-01,CSC,removed_ticker
2015-11-19,ILMN,added_ticker
2015-11-19,SIAL,removed_ticker
2015-11-18,SYF,added_ticker
2015-11-18,GNW,removed_ticker
2015-11-02,HCBK,removed_ticker
2015-11-02,HPE,added_ticker
2015-10-08,VRSK,added_ticker
2015-10-07,JOY,removed_ticker
2015-09-18,FOX,added_ticker
2015-09-18,NWS,added_ticker
2015-09-18,CMCSK,added_ticker
2015-09-18,CMCSA,added_ticker
2015-09-03,UAL,added_ticker
2015-09-02,HSP,removed_ticker
2015-08-31,ATVI,added_ticker
2015-08-28,PLL,removed_ticker
2015-07-29,DTV,removed_ticker
2015-07-29,SIG,added_ticker
2015-07-20,NE,removed_ticker
2015-07-20,PYPL,added_ticker
2015-07-09,AAP,added_ticker
2015-07-08,FDO,removed_ticker
2015-07-06,KRFT,removed_ticker
2015-07-06,KHC,added_ticker
2015-07-02,CPGX,added_ticker
2015-07-02,ATI,removed_ticker
2015-07-01,BXLT,added_ticker
2015-07-01,QEP,removed_ticker
2015-07-01,JBHT,added_ticker
2015-07-01,TEG,removed_ticker
2015-06-11,QRVO,added_ticker
2015-06-11,LO,removed_ticker
2015-04-07,WIN,removed_ticker
2015-04-07,O,added_ticker
2015-03-23,SLG,added_ticker
2015-03-23,DNR,removed_ticker
2015-03-23,NBR,removed_ticker
2015-03-23,AVP,removed_ticker
2015-03-23,EQIX,added_ticker
2015-03-23,HBI,added_ticker
2015-03-23,AAL,added_ticker
2015-03-18,HSIC,added_ticker
2015-03-18,CFN,removed_ticker
2015-03-12,PETM,removed_ticker
2015-03-12,SWKS,added_ticker
2015-01-27,COV,removed_ticker
2015-01-27,ENDP,added_ticker
2015-01-27,SWY,removed_ticker
2015-01-27,HCA,added_ticker
2014-12-05,RCL,added_ticker
2014-12-05,BMS,removed_ticker
2014-11-05,JBL,removed_ticker
2014-11-05,LVLT,added_ticker
2014-09-20,URI,added_ticker
2014-09-20,UHS,added_ticker
2014-09-20,GHC,removed_ticker
2014-09-20,BTU,removed_ticker
2014-08-18,MNK,added_ticker
2014-08-18,RDC,removed_ticker
2014-08-07,DISCK,added_ticker
2014-07-02,MLM,added_ticker
2014-07-02,X,removed_ticker
2014-07-01,AMG,added_ticker
2014-07-01,FRX,removed_ticker
2014-06-21,XEC,added_ticker
2014-06-20,IGT,removed_ticker
2014-05-08,LSI,removed_ticker
2014-05-08,AVGO,added_ticker
2014-05-01,BEAM,removed_ticker
2014-05-01,SLM,removed_ticker
2014-05-01,NAVI,added_ticker
2014-04-03,GOOGL,added_ticker
2014-04-02,ESS,added_ticker
2014-04-02,CLF,removed_ticker
2014-03-21,WPX,removed_ticker
2014-03-21,GMCR,added_ticker
2014-01-24,TSCO,added_ticker
2014-01-24,LIFE,removed_ticker
2013-12-23,ANF,removed_ticker
2013-12-23,JDSU,removed_ticker
2013-12-23,TER,removed_ticker
2013-12-23,MHK,added_ticker
2013-12-23,FB,added_ticker
2013-12-23,ADS,added_ticker
2013-12-10,GGP,added_ticker
2013-12-10,MOLX,removed_ticker
2013-12-02,JCP,removed_ticker
2013-12-02,ALLE,added_ticker
2013-11-13,NYX,removed_ticker
2013-11-13,KORS,added_ticker
2013-11-13,CPRI,added_ticker
2013-10-29,DELL,removed_ticker
2013-10-29,RIG,added_ticker
2013-09-23,AME,added_ticker
2013-09-23,VRTX,added_ticker
2013-09-20,SAI,removed_ticker
2013-09-20,AMD,removed_ticker
2013-09-11,DAL,added_ticker
2013-09-10,BMC,removed_ticker
2013-08-01,NWSA,added_ticker
2013-07-09,NLSN,added_ticker
2013-07-08,S,removed_ticker
2013-07-01,FOXA,added_ticker
2013-06-28,APOL,removed_ticker
2013-06-21,FHN,removed_ticker
2013-06-21,ZTS,added_ticker
2013-06-06,GM,added_ticker
2013-06-06,HNZ,removed_ticker
2013-05-24,KSU,added_ticker
2013-05-23,DF,removed_ticker
2013-05-09,MAC,added_ticker
2013-05-08,CVH,removed_ticker
2013-05-01,REGN,added_ticker
2013-04-30,PCS,removed_ticker
2013-02-15,BIG,removed_ticker
2013-02-15,PVH,added_ticker
2012-12-31,ABBV,added_ticker
2012-12-31,FII,removed_ticker
2012-12-24,APTV,added_ticker
2012-12-21,DLPH,added_ticker
2012-12-21,TIE,removed_ticker
2012-12-12,GRMN,added_ticker
2012-12-11,RRD,removed_ticker
2012-12-03,CBE,removed_ticker
2012-12-03,DG,added_ticker
2012-10-10,SUN,removed_ticker
2012-10-10,PETM,added_ticker
2012-10-02,KRFT,added_ticker
2012-10-02,ANR,removed_ticker
2012-10-02,MDLZ,added_ticker
2012-10-01,PNR,added_ticker
2012-10-01,DV,removed_ticker
2012-10-01,ADT,added_ticker
2012-10-01,LXK,removed_ticker
2012-09-05,LYB,added_ticker
2012-09-05,SHLD,removed_ticker
2012-07-31,ESV,added_ticker
2012-07-31,GR,removed_ticker
2012-07-02,PGN,removed_ticker
2012-07-02,STX,added_ticker
2012-06-29,SLE,removed_ticker
2012-06-29,MNST,added_ticker
2012-06-29,LRCX,added_ticker
2012-06-05,NVLS,removed_ticker
2012-05-25,ALXN,added_ticker
2012-05-25,KMI,added_ticker
2012-05-21,MMI,removed_ticker
2012-05-17,EP,removed_ticker
2012-05-01,PSX,added_ticker
2012-04-23,SVU,removed_ticker
2012-04-03,FOSL,added_ticker
2012-04-03,MHS,removed_ticker
2012-03-14,CCI,added_ticker
2012-03-13,CEG,removed_ticker
2011-12-31,WPX,added_ticker
2011-12-31,CPWR,removed_ticker
2011-12-21,TRIP,added_ticker
2011-12-20,TLAB,removed_ticker
2011-12-19,PRGO,added_ticker
2011-12-19,BWA,added_ticker
2011-12-19,DLTR,added_ticker
2011-12-16,WFR,removed_ticker
2011-12-16,MWW,removed_ticker
2011-12-16,AKS,removed_ticker
2011-12-12,GAS,added_ticker
2011-11-18,JNS,removed_ticker
